[INFO: 2023-07-07 05:20:31,416] Start training...
[INFO: 2023-07-07 05:22:01,304] Start training...
[INFO: 2023-07-07 05:22:16,903] Epoch [0/10] Validation Loss: 3.2174, Accuracy: 4.35%
[INFO: 2023-07-07 05:22:32,227] Epoch [1/10] Validation Loss: 3.1306, Accuracy: 4.35%
[INFO: 2023-07-07 05:22:47,336] Epoch [2/10] Validation Loss: 3.0437, Accuracy: 8.70%
[INFO: 2023-07-07 05:23:01,980] Epoch [3/10] Validation Loss: 2.9543, Accuracy: 13.04%
[INFO: 2023-07-07 05:23:16,626] Epoch [4/10] Validation Loss: 2.8284, Accuracy: 14.49%
[INFO: 2023-07-07 05:23:32,403] Epoch [5/10] Validation Loss: 2.6653, Accuracy: 18.84%
[INFO: 2023-07-07 05:23:48,070] Epoch [6/10] Validation Loss: 2.3811, Accuracy: 43.48%
[INFO: 2023-07-07 05:24:03,617] Epoch [7/10] Validation Loss: 1.9617, Accuracy: 47.83%
[INFO: 2023-07-07 05:24:18,922] Epoch [8/10] Validation Loss: 1.5320, Accuracy: 69.57%
[INFO: 2023-07-07 05:24:34,095] Epoch [9/10] Validation Loss: 1.1263, Accuracy: 85.51%
[INFO: 2023-07-07 05:29:48,788] Start training...
[INFO: 2023-07-07 05:30:04,931] Epoch [0/10] Validation Loss: 3.2174, Accuracy: 4.35%
[INFO: 2023-07-07 05:30:21,262] Epoch [1/10] Validation Loss: 3.1306, Accuracy: 4.35%
[INFO: 2023-07-07 05:30:37,301] Epoch [2/10] Validation Loss: 3.0437, Accuracy: 8.70%
[INFO: 2023-07-07 05:30:52,868] Epoch [3/10] Validation Loss: 2.9543, Accuracy: 13.04%
[INFO: 2023-07-07 05:31:08,832] Epoch [4/10] Validation Loss: 2.8284, Accuracy: 14.49%
[INFO: 2023-07-07 05:31:24,582] Epoch [5/10] Validation Loss: 2.6653, Accuracy: 18.84%
[INFO: 2023-07-07 05:31:40,029] Epoch [6/10] Validation Loss: 2.3811, Accuracy: 43.48%
[INFO: 2023-07-07 05:31:55,754] Epoch [7/10] Validation Loss: 1.9617, Accuracy: 47.83%
[INFO: 2023-07-07 05:32:10,784] Epoch [8/10] Validation Loss: 1.5320, Accuracy: 69.57%
[INFO: 2023-07-07 05:32:26,343] Epoch [9/10] Validation Loss: 1.1263, Accuracy: 85.51%
[INFO: 2023-07-07 05:32:55,686] Start training...
[INFO: 2023-07-07 05:33:11,060] Epoch [0/100] Validation Loss: 3.2174, Accuracy: 4.35%
[INFO: 2023-07-07 05:33:26,443] Epoch [1/100] Validation Loss: 3.2058, Accuracy: 4.35%
[INFO: 2023-07-07 05:33:42,242] Epoch [2/100] Validation Loss: 3.1921, Accuracy: 4.35%
[INFO: 2023-07-07 05:33:58,323] Epoch [3/100] Validation Loss: 3.1625, Accuracy: 4.35%
[INFO: 2023-07-07 05:34:14,303] Epoch [4/100] Validation Loss: 3.1325, Accuracy: 4.35%
[INFO: 2023-07-07 05:34:30,289] Epoch [5/100] Validation Loss: 3.1139, Accuracy: 4.35%
[INFO: 2023-07-07 05:34:46,121] Epoch [6/100] Validation Loss: 3.0794, Accuracy: 10.14%
[INFO: 2023-07-07 05:35:02,019] Epoch [7/100] Validation Loss: 3.0509, Accuracy: 8.70%
[INFO: 2023-07-07 05:35:17,977] Epoch [8/100] Validation Loss: 3.0284, Accuracy: 11.59%
[INFO: 2023-07-07 05:35:33,824] Epoch [9/100] Validation Loss: 2.9925, Accuracy: 11.59%
